City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mount isa,-20.7333,139.5,292.02,77,62,3.6,AU,1690412328
84,maksatikha,57.797,35.8825,286.05,98,54,2.27,RU,1690412328
85,mariakani,-3.8633,39.4736,294.23,90,23,4.05,KE,1690412328
86,ambon,-3.6954,128.1814,299.75,77,40,2.57,ID,1690412329
87,ilam,26.9167,87.9167,293.51,90,99,1.5,NP,1690412329
88,corner brook,48.9667,-57.9484,293.24,95,80,2.14,CA,1690412329
89,salair,54.2312,85.7972,289.06,67,59,1.59,RU,1690412329
90,hawaiian paradise park,19.5933,-154.9731,301.89,80,0,4.12,US,1690412329
91,laascaanood,8.4774,47.3597,297.26,54,16,13.03,SO,1690412329
92,yerofey pavlovich,53.9667,121.9667,292.29,85,73,1.48,RU,1690412329
93,keflavik,64.0049,-22.5624,286.1,82,75,3.6,IS,1690412243
94,suva,-18.1416,178.4415,293.86,94,100,2.57,FJ,1690412247
95,lihue,21.9789,-159.3672,303.92,67,75,6.17,US,1690412330
96,usogorsk,63.4106,48.6872,286.94,78,97,2.28,RU,1690412330
97,flying fish cove,-10.4217,105.6791,297.97,83,100,4.63,CX,1690412330
98,labrador city,52.9463,-66.9114,290.1,77,75,3.09,CA,1690412330
99,katsuren-haebaru,26.3369,127.8719,302.16,88,75,4.12,JP,1690412330
100,gobabis,-22.45,18.9667,286.27,27,14,2.84,NA,1690412330
101,waingapu,-9.6567,120.2641,295.12,80,67,3.28,ID,1690412330
102,san pedro,14.35,121.0167,300.57,93,100,1.54,PH,1690412331
103,northam,51.0333,-4.2167,291.29,98,100,9.74,GB,1690412331
104,atafu village,-8.5421,-172.5159,301.57,74,30,8.55,TK,1690412331
105,bayanhongor,46.7167,100.1167,284.37,59,32,0.96,MN,1690412332
106,brookings,44.3114,-96.7984,309.15,36,0,3.09,US,1690412332
107,aasiaat,68.7098,-52.8699,276.77,91,37,4.03,GL,1690412250
108,ndola,-12.9587,28.6366,285.72,58,2,2.13,ZM,1690412332
109,papatowai,-46.5619,169.4708,278.84,85,100,11.86,NZ,1690412332
110,zhizdra,53.746,34.7395,289.07,97,64,0.82,RU,1690412332
111,lebu,-37.6167,-73.65,282.04,84,100,1.29,CL,1690412231
112,jieshi,22.8134,115.8257,302.22,76,68,2.45,CN,1690412333
113,tiksi,71.6872,128.8694,281.35,67,41,1.53,RU,1690412233
114,hasaki,35.7333,140.8333,306.1,77,9,3.57,JP,1690412274
115,tolbazy,54.0241,55.8825,290.28,82,15,2.35,RU,1690412333
116,chonchi,-42.6128,-73.8092,281.55,97,100,0.58,CL,1690412223
117,enewetak,11.3474,162.3373,301.55,76,93,6.35,MH,1690412333
118,albany,42.6001,-73.9662,302.13,67,83,0.45,US,1690412207
119,fort bragg,35.139,-79.006,308.23,55,0,3.09,US,1690412334
120,hithadhoo,-0.6,73.0833,301.36,79,45,6.82,MV,1690412248
121,fort mcmurray,56.7268,-111.381,293.92,56,75,4.12,CA,1690412334
122,yeed,4.55,43.0333,297.52,54,89,8.84,SO,1690412334
123,ust-nera,64.5667,143.2,286.89,65,91,2.98,RU,1690412334
124,kashmar,35.2383,58.4656,301.84,26,0,4.88,IR,1690412334
125,libreville,0.3925,9.4537,299.16,78,20,2.57,GA,1690412334
126,brisas de zicatela,15.8369,-97.0419,303.48,66,12,2.65,MX,1690412334
127,bealanana,-14.55,48.7333,285.16,96,80,2.34,MG,1690412335
128,ribeira grande,38.5167,-28.7,296.36,93,13,2.24,PT,1690412335
129,tidjikja,18.5564,-11.4271,305.64,37,30,8.51,MR,1690412335
130,ebon,4.582,168.6964,300.42,78,88,1.92,MH,1690412301
131,nema,57.5067,50.5011,290.01,96,100,3.77,RU,1690412335
132,muravlenko,63.7898,74.523,291.43,72,76,2.11,RU,1690412335
133,tisul',55.7611,88.3122,288.11,83,4,1.9,RU,1690412335
134,pisco,-13.7,-76.2167,294.18,64,0,8.75,PE,1690412335
135,olyokminsk,60.3736,120.4264,294.6,78,9,2.18,RU,1690412239
136,port-vila,-17.7338,168.3219,294.93,73,75,5.14,VU,1690412336
137,yakeshi,49.2833,120.7333,289.65,96,100,2.29,CN,1690412336
138,piton saint-leu,-21.2196,55.3151,291.21,83,20,2.57,RE,1690412336
139,holualoa,19.6228,-155.9522,302.35,76,75,6.17,US,1690412312
140,camapua,-19.5314,-54.0439,297.85,32,1,1.12,BR,1690412336
141,kone,-21.0595,164.8658,295.16,43,5,3.33,NC,1690412336
142,greenville,35.6127,-77.3663,307.12,61,75,2.24,US,1690411765
143,sinop,41.7711,34.8709,296.12,43,0,4.82,TR,1690412337
144,uribia,11.7139,-72.266,301.86,71,44,7.56,CO,1690412337
145,petropavlovsk-kamchatsky,53.0452,158.6483,293.48,73,0,2.0,RU,1690412256
146,newnham,-41.3833,147.1333,282.77,91,100,4.63,AU,1690412337
147,kruisfontein,-34.0033,24.7314,285.31,75,100,4.59,ZA,1690412337
148,galesong,-5.3166,119.3661,294.16,78,8,2.81,ID,1690412337
149,mantua,45.1667,10.7833,294.68,77,6,3.13,IT,1690412337
150,gujar khan,33.2558,73.3026,299.06,78,12,2.61,PK,1690412337
151,luanda,-8.8368,13.2343,294.15,94,40,2.57,AO,1690412314
152,novoishimskiy,53.1981,66.7694,289.47,86,23,0.74,KZ,1690412338
153,sitka,57.0531,-135.33,289.09,82,100,2.06,US,1690412338
154,graaff-reinet,-32.2522,24.5308,281.99,91,63,1.15,ZA,1690412338
155,kargasok,59.0556,80.8572,287.27,96,36,2.81,RU,1690412338
156,ugoofaaru,5.6667,73.0,300.72,76,98,1.31,MV,1690412338
157,banamba,13.55,-7.45,302.51,57,88,3.61,ML,1690412338
158,thompson,55.7435,-97.8558,288.24,67,100,4.63,CA,1690412162
159,yuzhno-kurilsk,44.0306,145.8556,293.86,87,77,2.11,RU,1690412228
160,shizunai-furukawacho,42.3339,142.3669,296.07,88,75,1.96,JP,1690412339
161,luderitz,-26.6481,15.1594,285.95,71,0,4.01,NA,1690412339
162,canmore,51.0834,-115.3521,293.6,32,6,3.6,CA,1690412339
163,la gi,10.6667,107.7833,298.27,95,100,4.39,VN,1690412339
164,kuandian,40.7286,124.7847,294.62,99,100,1.46,CN,1690412339
165,matoury,4.8483,-52.3317,299.13,94,40,0.51,GF,1690412339
166,asadabad,34.7824,48.1185,294.12,45,0,3.03,IR,1690412340
167,tumpat,6.1978,102.171,297.14,94,20,1.54,MY,1690412340
168,sao joao da barra,-21.6403,-41.0511,296.2,82,25,7.3,BR,1690412340
169,susuman,62.7833,148.1667,283.46,86,100,2.03,RU,1690412294
170,praia da vitoria,38.7333,-27.0667,296.29,83,20,2.37,PT,1690412340
171,trinidad,-14.8333,-64.9,301.14,69,75,1.54,BO,1690412340
172,eseka,3.65,10.7667,295.89,100,99,0.82,CM,1690412340
173,ephraim,39.3597,-111.5863,306.08,23,71,4.66,US,1690412341
174,antigonish,45.6169,-61.9986,299.79,72,40,2.67,CA,1690412226
175,san patricio,28.017,-97.5169,309.55,48,0,7.87,US,1690412341
176,nadym,65.5333,72.5167,290.83,82,17,3.14,RU,1690412341
177,lompoc,34.6391,-120.4579,306.92,73,75,4.12,US,1690412341
178,kingston,17.997,-76.7936,305.51,72,40,2.06,JM,1690412101
179,caleta de carquin,-11.0925,-77.6267,293.12,78,23,4.71,PE,1690412341
180,bochum,51.4833,7.2167,290.58,70,98,3.13,DE,1690412341
181,alice springs,-23.7,133.8833,284.9,76,100,0.0,AU,1690412184
182,kamikawa,43.84,142.7711,296.3,75,94,2.5,JP,1690412342
183,dunedin,-45.8742,170.5036,281.37,57,92,5.81,NZ,1690412091
184,crane,31.3974,-102.3501,309.62,21,29,7.25,US,1690412342
185,mhamid,29.82,-5.72,310.15,7,0,3.91,MA,1690412342
186,dompu,-8.5356,118.4622,295.16,91,48,0.96,ID,1690412342
187,tual,-5.6667,132.75,299.17,85,88,9.34,ID,1690412342
188,port augusta,-32.5,137.7667,286.23,50,28,2.28,AU,1690412343
189,lazaro cardenas,17.9583,-102.2,304.17,59,38,4.6,MX,1690412343
190,plettenberg bay,-34.0527,23.3716,284.95,83,42,3.51,ZA,1690412343
191,yarmouth,41.7057,-70.2286,300.45,75,0,7.72,US,1690412343
192,peace river,56.2501,-117.286,292.32,82,75,4.63,CA,1690412344
193,copiapo,-27.3667,-70.3333,285.98,71,2,0.63,CL,1690412344
194,huadian,42.9633,126.7478,296.04,89,67,1.21,CN,1690412344
195,chibougamau,49.9168,-74.3659,296.94,46,100,4.42,CA,1690412222
196,khandyga,62.6667,135.6,292.3,41,0,5.2,RU,1690412345
197,maputo,-25.9653,32.5892,289.97,72,0,5.81,MZ,1690412345
198,al kharj,24.155,47.3346,308.47,17,86,1.88,SA,1690412345
199,itacarambi,-15.1022,-44.0919,296.94,37,3,1.12,BR,1690412346
200,kailua-kona,19.6406,-155.9956,304.42,76,75,6.17,US,1690412346
201,suntar,62.1444,117.6319,289.97,67,97,3.33,RU,1690412346
202,howrah,22.5892,88.3103,301.15,89,40,2.06,IN,1690412347
203,laojunmiao,39.8333,97.7333,294.8,26,56,0.8,CN,1690412348
204,kenai,60.5544,-151.2583,289.2,90,100,5.66,US,1690412349
205,faya-largeau,17.9257,19.1043,306.93,11,74,3.38,TD,1690412349
206,newman,37.3138,-121.0208,313.74,9,0,6.35,US,1690412349
207,jabat,7.75,168.9751,301.3,75,100,4.13,MH,1690412350
208,kalabo,-14.97,22.6814,287.95,39,0,2.41,ZM,1690412351
209,mawu,29.5923,107.3139,296.06,94,100,0.45,CN,1690412351
210,mersing,2.4312,103.8405,299.1,94,20,2.06,MY,1690412214
211,pindi gheb,33.2402,72.2661,305.35,61,85,2.78,PK,1690412352
212,miri,4.4148,114.0089,298.23,100,20,1.03,MY,1690412352
213,campoverde,-8.4753,-74.8058,304.98,48,67,1.64,PE,1690412352
214,hamilton,39.1834,-84.5333,304.84,68,20,7.72,US,1690412352
215,kodiak,57.79,-152.4072,286.88,88,100,3.09,US,1690412352
216,chifeng,42.2683,118.9636,297.61,76,97,1.88,CN,1690412353
217,talnakh,69.4865,88.3972,294.38,63,26,2.43,RU,1690412196
218,obsharovka,53.125,48.8531,293.09,63,14,2.61,RU,1690412353
219,port douglas,-16.4833,145.4667,295.5,78,84,7.4,AU,1690412353
220,la'ie,21.6477,-157.9253,305.13,69,40,6.51,US,1690412082
221,ciudad sabinas hidalgo,26.5,-100.1667,312.65,14,0,8.36,MX,1690412354
222,tomatlan,19.9333,-105.25,305.14,55,89,3.78,MX,1690412244
223,puerto ayora,-0.7393,-90.3518,301.13,92,91,2.24,EC,1690412206
224,byron bay,-28.65,153.6167,286.88,59,83,2.01,AU,1690411692
225,tsiombe,-25.3,45.4833,291.21,58,0,5.84,MG,1690412354
226,ola,59.5833,151.2833,289.34,97,100,3.21,RU,1690412355
227,port elizabeth,-33.918,25.5701,288.31,67,20,8.23,ZA,1690412152
228,port alfred,-33.5906,26.891,288.81,91,100,3.13,ZA,1690412286
229,angaur state,6.906,134.13,299.69,82,100,7.97,PW,1690412201
230,college,64.8569,-147.8028,300.97,59,75,1.54,US,1690412355
231,revda,56.801,59.9303,286.65,95,48,1.45,RU,1690412355
232,bahia honda,22.9036,-83.1592,302.93,67,58,5.91,CU,1690412356
233,setubal,38.5244,-8.8882,293.09,92,0,2.49,PT,1690412356
234,port saint john's,-31.6229,29.5448,291.72,56,92,6.49,ZA,1690412356
235,punta arenas,-53.15,-70.9167,273.66,74,18,5.3,CL,1690412356
236,kupang,-10.1667,123.5833,295.21,80,19,3.45,ID,1690412356
237,mogocha,53.7333,119.7667,290.51,94,100,1.38,RU,1690412357
